style,bars_processed,trade_count,win_rate,profit_factor,expectancy_r,max_drawdown_pct,avg_win_r,avg_loss_r,total_r
SCALP,949,1,1.0000,999.9900,0.0900,0.0000,0.0900,0.0000,0.0900

entry_time,exit_time,direction,mode,grade,entry_price,exit_price,r_multiple,exit_reason
2026-07-22T05:15:00Z,2026-07-22T06:15:00Z,long,T,A,4122.78,4138.16,0.0900,TIME
